APO_AB_1	APO_AB_2	APO_AB_3	APO_AB_4	APO_AB_5	APO_AB_6	APO_Aip_3D_1	APO_Aip_3D_2	APO_Aip_3D_3	APO_Aip_3D_4	APO_Aip_3D_5	APO_Aip_3D_6	APO_Aip_7D_1	APO_Aip_7D_2	APO_Aip_7D_3	APO_Aip_7D_4	APO_Aip_7D_5	APO_Aip_7D_6	APO_CA_3D_1	APO_CA_3D_2	APO_CA_3D_3	APO_CA_3D_4	APO_CA_3D_5	APO_CA_3D_6	APO_CA_7D_1	APO_CA_7D_2	APO_CA_7D_3	APO_CA_7D_4	APO_CA_7D_5	APO_CA_7D_6	APO_CB_3D_1	APO_CB_3D_2	APO_CB_3D_3	APO_CB_3D_4	APO_CB_3D_5	APO_CB_3D_6	APO_CB_7D_1	APO_CB_7D_2	APO_CB_7D_3	APO_CB_7D_4	APO_CB_7D_5	APO_CB_7D_6	APO_C_1	APO_C_2	APO_C_3	APO_C_4	APO_C_5	APO_C_6	APO_water	Inoc_A	Inoc_APO	Inoc_B	Inoc_SYM	SYM_AB_1	SYM_AB_2	SYM_AB_3	SYM_AB_4	SYM_AB_5	SYM_AB_6	SYM_Aip_3D_1	SYM_Aip_3D_2	SYM_Aip_3D_3	SYM_Aip_3D_4	SYM_Aip_3D_5	SYM_Aip_3D_6	SYM_Aip_7D_1	SYM_Aip_7D_2	SYM_Aip_7D_3	SYM_Aip_7D_4	SYM_Aip_7D_5	SYM_Aip_7D_6	SYM_CA_3D_1	SYM_CA_3D_2	SYM_CA_3D_3	SYM_CA_3D_4	SYM_CA_3D_5	SYM_CA_3D_6	SYM_CA_7D_1	SYM_CA_7D_2	SYM_CA_7D_3	SYM_CA_7D_4	SYM_CA_7D_5	SYM_CA_7D_6	SYM_CB_3D_1	SYM_CB_3D_2	SYM_CB_3D_3	SYM_CB_3D_4	SYM_CB_3D_5	SYM_CB_3D_6	SYM_CB_7D_1	SYM_CB_7D_2	SYM_CB_7D_3	SYM_CB_7D_4	SYM_CB_7D_5	SYM_CB_7D_6	SYM_C_1	SYM_C_2	SYM_C_3	SYM_C_4	SYM_C_5	SYM_C_6	SYM_water	Slurry_A	Slurry_APO	Slurry_Sym
Otu0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	753	433	6849	5	3457	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu0031	0	10	0	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9079	0
Otu0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8735	1
Otu0033	10	3	9	15	9	22	0	0	29	0	0	0	0	0	0	0	0	0	49	11	0	218	0	0	0	0	35	70	88	0	0	42	0	25	0	0	115	60	123	161	0	115	0	0	0	1	0	0	0	0	0	11	476	1	1	2	1	0	1	696	401	802	553	858	275	0	232	21	19	0	17	58	0	258	0	21	19	0	27	97	0	24	295	51	416	30	122	0	598	15	6	37	0	0	48	1	3	16	1	0	2	0	0	6	644
Otu0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	77	0	0	0	85	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	689	0	1149	6281
Otu0035	0	0	0	0	0	0	4	2	0	3	0	1	0	3	0	2	0	0	1	3	4	0	2	0	0	0	0	0	0	0	0	0	4	3	4	0	0	0	1	0	0	0	0	0	2	0	0	0	1463	329	3206	3	3019	0	0	0	0	5	2	2	0	0	0	5	3	0	0	0	2	0	0	0	1	5	1	0	2	4	0	2	0	0	4	1	0	1	0	0	0	0	0	1	0	1	8	1	3	1	2	4	2	0	0	0	1
Otu0036	0	0	0	0	0	0	257	16	5	176	346	182	13	8	1	7	53	14	1	0	243	158	214	36	175	14	15	99	153	55	6	16	62	21	182	10	8	156	60	50	13	12	92	370	109	169	334	338	0	7	0	38	159	0	0	0	0	0	0	38	31	3	27	16	17	64	16	371	85	1	11	9	25	44	35	25	30	54	241	152	341	131	241	35	0	118	27	118	201	74	183	47	167	461	48	8	2	8	2	6	8	0	0	0	0
Otu0037	0	0	0	0	0	0	30	39	0	48	57	46	73	323	112	47	400	68	0	6	44	2	7	42	22	46	50	24	21	48	28	3	11	24	7	5	92	69	67	29	60	509	218	155	276	0	205	0	0	0	0	0	304	0	0	0	0	0	0	101	25	64	97	117	153	216	202	298	257	456	109	17	85	13	102	18	36	38	24	24	31	136	61	66	5	14	11	124	14	40	37	22	302	116	46	260	0	181	219	132	76	0	0	0	0
Otu0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	8	0	79	7472
Otu0039	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	1	53	16	0	196	0	0	0	1	0	96	117	0	1	94	17	67	3	0	247	155	217	260	41	216	0	0	0	0	0	0	0	5	0	0	449	0	0	0	0	0	0	539	265	406	466	733	259	23	492	0	49	0	36	105	0	205	1	39	44	0	68	165	0	35	384	95	0	52	63	11	240	27	11	77	1	1	53	0	2	0	0	4	0	0	0	0	0
